offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
5514,"Картридж IU-214M для принтеров Konica Minolta Bizhub 227, Bizhub 287 пурпурный",5,36,13,31.08,True,False
4897X2,"Комплект картриджей 56F5X0E (2 шт.) на 40000 страниц для принтеров Lexmark LaserPrinter MS421, LP MS521, LP MS621, LP-MS622",7,36,12,45.49,False,False
7162X2,"Комплект картриджей C070H (2 шт.) на 36000 страниц для принтеров Canon i-SENSYS LBP-243dw, LBP246dw, MF461dw, MF463dw",2,36,15,46.58,False,False
5513,"Картридж IU-214C для принтеров Konica Minolta Bizhub 227, Bizhub 287 голубой",4,36,13,30.87,True,False
4802X6,"Комплект картриджей PC-211EV XL (6 шт.) на 36000 страниц для принтеров M6500, M6506NW, M6607, P2200, P2207, P2500, P2507",4,36,19,54.55,False,False
4940X2,"Комплект фотобарабанов 54G0P00 (2 шт.) на 250000 страниц для принтеров Lexmark LaserPrinter MS911, LP MX910, LP-MX911, LPMX912",5,36,13,45.29,False,False
0879X10,"Комплект картриджей CF214X (10 шт.) на 175000 страниц для принтеров HP LJ 700 M712DN, M712XH, M725dn, M725f",2,35,18,56.17,False,False
3117,"Картридж LC-665XLY для принтеров Brother MFC-J2320, MFC-J2720 желтый",10,35,12,39.96,True,True
4483,Картридж CTL-1100XM пурпурный,9,35,11,36.79,True,True
7012X2,Комплект картриджей CTL-R2100HK (2 шт.) на 6000 страниц,1,35,12,45.59,False,False
2126,"Картридж T-4530E для принтеров Toshiba e-Studio 255, e Studio 305, eStudio 355, e-Studio 455 черный",9,35,13,34.79,True,False
1367,"Картридж 106R02773 для Xerox WorkCentre 3025, Phaser 3020BI, Xerox Phaser 3020, WC-3025",2,34,11,39.81,True,True
0203,"Картридж 122XL для принтеров HP DeskJet 1000 - J110a, DeskJet 1010, Officejet 2620, Officejet 2621 цветной",1,34,24,34.83,True,False
0576,"Картридж TN-135C для принтеров Brother и DCP-9040CN, DCP 9045CN, HL-4040 cn, HL4050CDN, HL-4070, MFC-9440CN, MFC9450 голубой",4,34,15,35.17,True,False
4895X2,"Комплект картриджей 56F5H00 (2 шт.) на 30000 страниц для принтеров Lexmark LaserPrinter MS321, LP MS421, LP MS521",5,34,11,45.31,False,False
019863,Картридж для HP PhotoSmart D5345,1,34,17,35.66,True,False
0879X6,"Комплект картриджей CF214X (6 шт.) на 105000 страниц для принтеров HP LJ 700 M712DN, M712XH, M725dn, M725f",4,33,13,54.55,False,False
2318X6,"Комплект картриджей 106R03048 (2 штуки) (6 шт.) на 18000 страниц для принтеров Xerox Phaser 3020, WC 5020",6,33,12,54.48,False,False
5515,"Картридж IU-214Y для принтеров Konica Minolta Bizhub 227, Bizhub 287 желтый",3,33,13,31.08,True,False
4904X2,"Комплект картриджей 78C5UKE (2 шт.) на 21000 страниц для принтеров Lexmark LaserPrinter CS521, LP CS622, LP CX622, LP-CX625",4,33,13,45.54,False,False
2983,"Картриджи 106R03745-106R03748 для принтеров Xerox VersaLink C7020, VersaLinkC7025",10,33,11,28.3,True,True
3090,"Картридж CF462X для принтеров HP и Color LaserJet Enterprise M681dh, LJ M652dn, LJ-M653dn желтый",4,33,11,34.09,True,False
